"pincode","district","latitude","longitude","Demand"
522659,"Palnadu","15.9612190","79.6607800",2
522659,"Palnadu","16.0051770","79.6138810",2
522616,"GUNTUR","16.0879180","80.2665330",12
522616,"Palnadu","16.0627830","80.2183390",12
522616,"Palnadu","16.0947130","80.0939800",12
522619,"Palnadu","16.1048000","80.2095000",1
522614,"Palnadu","16.4948000","79.7284000",1
522614,"Palnadu","16.4936000","79.7094000",1
522614,"Palnadu","16.341","79.754",1
522614,"Palnadu","16.331289","79.716214",1
522660,"Palnadu","15.9699000","79.8358000",1
522660,"Palnadu","15.9501000","79.8587000",1
522660,"Palnadu","15.8552000","79.7288000",1
522529,"GUNTUR","16.3415000","80.1671000",1
522529,"GUNTUR","16.3376000","80.1898000",1
522603,"Palnadu","16.3085000","80.0438000",1
522603,"Palnadu","16.19","80.03",1
522603,"Palnadu","16.227","79.938",1
522603,"Palnadu","16.2872","80.018384",1
522549,"Palnadu","16.2816000","80.1179000",2
522549,"Palnadu","16.1977000","80.1326000",2
522549,"Palnadu","16.2520000","80.2105000",2
522647,"Palnadu","16.0767000","79.7718000",8
522647,"Palnadu","16.0101000","79.6961000",8
522647,"Palnadu","16.0658000","79.6553000",8
522647,"Palnadu","16.0683000","79.5834000",8
522647,"Palnadu","16.07","79.77",8
522409,"Palnadu","16.6432000","80.1303000",5
522409,"Palnadu","16.6897000","80.1392000",5
522411,"Palnadu","16.6309000","79.9511000",1
522411,"Palnadu","16.5270000","80.0045000",1
522411,"Palnadu","16.6561000","79.9870000",1
522411,"Palnadu","16.5830000","79.9509000",1
522411,"Palnadu","16.5457000","80.0350000",1
522411,"Palnadu","16.5065000","80.0419000",1
522411,"Palnadu","16.577","79.97",1
522414,"Palnadu","16.5935000","79.7441000",2
522414,"Palnadu","16.6517000","79.6899000",2
522410,"Palnadu","16.5948000","80.1633000",4
522435,"Palnadu","16.5781000","79.8759000",1
522435,"Palnadu","16.6280000","79.9092000",1
522426,"Palnadu","16.4863000","79.3310000",4
522426,"Palnadu","16.4826000","79.3986000",4
