Pincode,Warehouse,Allocation,Demand,Distance,WeightedCost
534448,HYDERABAD,1.0,1,295.648806774902,295.648806774902
534406,HYDERABAD,1.0,3,314.778783919383,944.336351758149
534460,HYDERABAD,1.0,3,133.298155462893,399.894466388679
534462,HYDERABAD,1.0,2,180.215717070161,360.431434140322
534426,HYDERABAD,1.0,2,296.202358412615,592.40471682523
534456,HYDERABAD,1.0,1,276.227549875061,276.227549875061
534312,HYDERABAD,1.0,13,338.58040035423,4401.5452046049895
534451,HYDERABAD,1.0,1,297.452321130293,297.452321130293
534401,HYDERABAD,1.0,1,305.425093238132,305.425093238132
534450,HYDERABAD,1.0,2,289.15630679725,578.3126135945
534452,HYDERABAD,1.0,2,345.947751391284,691.895502782568
521333,HYDERABAD,1.0,3,299.938619428344,899.8158582850319
521345,HYDERABAD,1.0,2,298.338995129445,596.67799025889
521325,HYDERABAD,1.0,2,294.878064659897,589.756129319794
521340,HYDERABAD,1.0,1,308.370183097031,308.370183097031
521329,HYDERABAD,1.0,2,312.213150643335,624.42630128667
521106,HYDERABAD,1.0,1,277.637117917302,277.637117917302
521215,HYDERABAD,1.0,3,246.418231131778,739.254693395334
521401,HYDERABAD,1.0,2,213.488344725292,426.976689450584
521235,HYDERABAD,1.0,6,219.055634746928,1314.333808481568
524341,BENGALURU URBAN,1.0,2,277.711140901423,555.422281802846
524406,BENGALURU URBAN,1.0,2,272.674399583692,545.348799167384
524414,BENGALURU URBAN,1.0,1,253.500131401624,253.500131401624
524410,BENGALURU URBAN,1.0,1,279.74472913806,279.74472913806
524411,BENGALURU URBAN,1.0,3,294.361017093592,883.0830512807761
524123,BENGALURU URBAN,1.0,1,289.494457175765,289.494457175765
524421,BENGALURU URBAN,1.0,3,272.879786008594,818.639358025782
524126,BENGALURU URBAN,1.0,9,281.090662262842,2529.8159603655777
524345,BENGALURU URBAN,1.0,6,282.710844855712,1696.2650691342722
524408,BENGALURU URBAN,1.0,1,268.164407444506,268.164407444506
524121,BENGALURU URBAN,1.0,20,283.103442833825,5662.0688566765
524407,BENGALURU URBAN,1.0,4,271.573770327821,1086.295081311284
524415,BENGALURU URBAN,1.0,1,294.135823109455,294.135823109455
524320,BENGALURU URBAN,1.0,1,296.338746772458,296.338746772458
524132,BENGALURU URBAN,1.0,9,240.549789312859,2164.948103815731
524413,BENGALURU URBAN,1.0,4,307.378743734848,1229.514974939392
524309,BENGALURU URBAN,1.0,1,282.710715467731,282.710715467731
522017,HYDERABAD,1.0,6,208.342780150319,1250.056680901914
522005,HYDERABAD,1.0,7,237.663734554253,1663.646141879771
522235,HYDERABAD,1.0,1,248.430789936299,248.430789936299
522019,HYDERABAD,1.0,12,235.956076673211,2831.472920078532
522020,HYDERABAD,1.0,3,210.624840570938,631.874521712814
522502,HYDERABAD,1.0,4,241.885320548964,967.541282195856
522016,HYDERABAD,1.0,1,230.521443347,230.521443347
522303,HYDERABAD,1.0,1,254.353276984967,254.353276984967
522302,HYDERABAD,1.0,2,248.485146498315,496.97029299663
522018,HYDERABAD,1.0,3,229.553194113026,688.659582339078
522508,HYDERABAD,1.0,2,243.993690589053,487.987381178106
522501,HYDERABAD,1.0,19,243.705304647153,4630.400788295908
522236,HYDERABAD,1.0,4,230.596054981452,922.384219925808
522237,HYDERABAD,1.0,4,289.683025200792,1158.732100803168
507116,HYDERABAD,1.0,1,249.714032697039,249.714032697039
507117,HYDERABAD,1.0,4,249.713632678133,998.854530712532
507115,HYDERABAD,1.0,8,232.117839377078,1856.942715016624
507202,HYDERABAD,1.0,1,287.029437907519,287.029437907519
507211,HYDERABAD,1.0,1,172.257198174224,172.257198174224
507204,HYDERABAD,1.0,1,217.805231724848,217.805231724848
507208,HYDERABAD,1.0,2,183.535271893677,367.070543787354
507002,HYDERABAD,1.0,20,177.103707615952,3542.07415231904
